a,b,c,d,e
夏玉米主要病虫害的发生及防治,标题,作者,王敏,作者
玉米穗虫的危害特点及防治技术,标题,作者,贾登三,作者
亚洲玉米螟幼虫体内酚氧化酶原激活蛋白酶cDNA片段的克隆与序列分析,标题,作者,冯从经,作者
玉米病虫害防治技术,标题,作者,邱兆芹,作者
利用超甜玉米诱集水稻螟虫,标题,作者,龙正权,作者
昆虫病原线虫共生菌对玉米螟幼虫的杀虫活性,标题,作者,孟亚莉,作者
玉米病虫害发生规律,标题,作者,余虹丽,作者
玉米病虫害的综合防治,标题,作者,薛美玲,作者
20%克百威玉米种衣剂的研制,标题,作者,王锁牢,作者
博乐市青得里乡玉米主要虫害及危害特点,标题,作者,买买提江,作者
玉米病虫害综合防治技术,标题,作者,王秀格,作者
西北旱农区玉米抗旱性的相关研究,标题,作者,王婷,作者
山东省部分地区2018年收获玉米的真菌污染状况研究,标题,作者,张守梅,作者
黑龙江省高粱种质抗丝黑穗病、靶斑病、高粱蚜和亚洲玉米螟鉴定,标题,作者,焦少杰,作者
不同玉米品种抗螟性比较的初步试验,标题,作者,刘铁军,作者
真菌蛋白的提取及其对玉米病害的抗性诱导,标题,作者,王晓梅,作者
亚洲玉米螟Pgi基因全长的同源PCR克隆,标题,作者,苏国连,作者
2017年全国玉米主要病虫害发生趋势预报,标题,作者,全国农业技术推广服务中心,作者
山东省邹平县玉米害虫二点委夜蛾综合防治技术探讨,标题,作者,陈志勇,作者
不同玉米品种的抗螟性评价,标题,作者,朱秋云,作者
冬种甜玉米病虫害防治,标题,作者,吕纪增,作者
制种玉米主要病虫害防治技术,标题,作者,王兆川,作者
玉米制种病虫趋重的原因及防治对策,标题,作者,罗兴忠,作者
玉米病虫害针对性防控技术,标题,作者,李秀玲,作者
我国玉米主产区亚洲玉米螟越冬幼虫天敌调查,标题,作者,何康来,作者
玉米红蜘蛛的发生与防治,标题,作者,周东秋,作者
表面增强拉曼光谱准确检测玉米中杀螟硫磷农药残留,标题,作者,黄林生,作者
甜玉米主要病虫害的发生特点及防治方法,标题,作者,黄发有,作者
玉米病虫害的防治,标题,作者,李树生,作者
哈密地区小麦、玉米田间病虫害发生情况及防治建议,标题,作者,帕提古力·瓦依提,作者
